t_s,rss_bytes,vms_bytes
0.000,28426240,445723869184
0.105,28426240,445723869184
0.208,32604160,445729882112
0.313,57212928,445977051136
0.418,123551744,445977051136
0.519,142229504,445988667392
0.621,153812992,445994303488
0.721,163512320,446000758784
0.827,173178880,446006247424
0.932,182239232,446010458112
1.033,191512576,446016733184
1.133,203292672,446023024640
1.238,215384064,446126030848
1.340,224149504,446132649984
1.445,235765760,446145003520
1.550,242040832,446156652544
1.655,249577472,446167121920
1.760,257949696,446177640448
1.862,267763712,446185340928
1.962,276971520,446193549312
2.066,284901376,446201298944
2.171,302333952,446215356416
2.273,307937280,446218502144
2.378,313589760,446222581760
2.479,319733760,446226874368
2.584,324468736,446230216704
2.689,324894720,446230216704
2.794,325353472,446230216704
2.899,325795840,446231265280
3.004,326647808,446231265280
3.107,327041024,446232313856
3.212,329777152,446241996800
3.317,345948160,446251663360
3.422,359301120,446260035584
3.527,373178368,446268653568
3.628,385679360,446274945024
3.729,396804096,446286266368
3.835,404176896,446292131840
3.940,412991488,446296309760
4.045,436092928,446417764352
4.150,453984256,446427004928
4.252,584663040,446459641856
4.357,666419200,446499225600
4.462,748224512,446501322752
4.567,936214528,446505517056
4.670,1078509568,446508138496
4.775,1081589760,446512267264
4.880,1081950208,446512267264
4.982,1082359808,446520655872
5.087,1082785792,446520655872
5.191,1087897600,446521360384
5.296,1110048768,446525685760
5.401,1109590016,446525030400
5.506,1244364800,448463142912
5.611,1602977792,448463142912
5.714,1962901504,448463142912
5.816,2309963776,448463142912
5.919,2663350272,448463142912
6.020,3020963840,448463142912
6.124,3060367360,448465813504
6.229,4136402944,450889662464
6.334,5826920448,452827774976
6.435,6809944064,452827774976
6.540,7632142336,453033869312
6.645,7666401280,453069455360
6.748,7666614272,453073649664
6.853,7667056640,453073682432
6.958,7667335168,453073682432
7.063,7671955456,453078269952
7.169,7672135680,453078269952
7.274,7672365056,453078269952
7.374,7672528896,453078269952
7.479,7672676352,453078269952
7.580,7675789312,453078269952
7.685,7679246336,453083185152
7.787,7420362752,453084807168
7.891,6747488256,453084807168
7.996,6116769792,453084807168
8.096,5372772352,453084807168
8.197,4859346944,453084807168
8.301,4295917568,453084807168
8.401,4046176256,453084807168
8.504,3595223040,453084807168
8.606,3166666752,453084807168
8.711,3166748672,453084807168
8.815,2807988224,453084807168
8.920,2319958016,453084807168
9.025,1772781568,453084807168
9.130,1512734720,453084807168
9.234,1377468416,453084839936
9.338,576356352,453084839936
9.438,543326208,453084839936
9.543,189513728,453084905472
9.646,186990592,453084905472
9.750,184696832,453084905472
9.852,184614912,453084905472
9.954,185335808,453084905472
10.059,185974784,453084905472
10.164,186449920,453084905472
10.265,191447040,453084905472
10.370,193216512,453084905472
10.475,196984832,453084905472
10.576,197066752,453084905472
10.680,197115904,453084905472
10.785,197197824,453084905472
10.889,197361664,453084905472
10.994,197459968,453084905472
11.099,205520896,453084905472
11.202,210894848,453084905472
11.303,210894848,453084905472
11.408,210894848,453084905472
11.513,210894848,453084905472
11.616,210894848,453084905472
11.720,210894848,453084905472
11.822,211189760,453085478912
11.927,211189760,453085478912
12.028,211189760,453085478912
12.133,211189760,453085478912
12.236,211189760,453085478912
12.341,211189760,453085478912
12.447,211189760,453085478912
12.552,211189760,453085478912
12.657,211189760,453085478912
12.762,211189760,453085478912
12.866,210468864,453085478912
12.966,210468864,453085478912
13.069,210468864,453085478912
13.172,211075072,453085478912
13.277,211075072,453085478912
13.378,211075072,453085478912
13.482,211091456,453085478912
13.582,211091456,453085478912
13.684,211091456,453085478912
13.789,211288064,453085478912
13.894,211517440,453085478912
13.996,211648512,453085478912
14.101,211648512,453085478912
14.204,211648512,453085478912
14.309,211648512,453085478912
14.413,211648512,453085478912
14.515,211648512,453085478912
14.620,211648512,453085478912
14.724,211648512,453085478912
14.827,211648512,453085478912
14.932,211648512,453085478912
15.034,211648512,453085478912
15.139,211648512,453085478912
15.241,211648512,453085478912
15.347,211615744,453085478912
15.450,211615744,453085478912
15.555,211615744,453085478912
15.660,211615744,453085478912
15.765,211615744,453085478912
15.866,211615744,453085478912
15.971,211697664,453085478912
16.076,211697664,453085478912
16.181,211697664,453085478912
16.286,210878464,453085478912
16.391,210878464,453085478912
16.497,211058688,453085478912
16.601,211992576,453085478912
16.706,211992576,453085478912
16.811,211992576,453085478912
16.916,211992576,453085478912
17.022,211992576,453085478912
17.127,211992576,453085478912
17.231,211992576,453085478912
17.335,211992576,453085478912
17.436,211992576,453085478912
17.541,211992576,453085478912
17.646,211992576,453085478912
17.750,211992576,453085478912
17.851,211992576,453085478912
17.956,211992576,453085478912
18.061,211992576,453085478912
18.166,211992576,453085478912
18.270,211992576,453085478912
18.371,211992576,453085478912
18.476,211992576,453085478912
18.581,212041728,453085478912
18.686,212041728,453085478912
18.791,212041728,453085478912
18.892,212041728,453085478912
18.997,212041728,453085478912
19.102,212156416,453085478912
19.207,212172800,453085478912
19.310,212336640,453085478912
19.415,212336640,453085478912
19.517,212336640,453085478912
19.621,212336640,453085478912
19.725,212336640,453085478912
19.829,212336640,453085478912
19.935,212336640,453085478912
20.040,212336640,453078351872
20.140,192167936,450621734912
20.245,192167936,450621734912
20.350,192167936,450621734912
20.454,192167936,450621734912
20.559,192167936,450621734912
20.664,192167936,450621734912
20.769,192167936,450621734912
20.874,192167936,450621734912
20.979,192167936,450621734912
21.084,192167936,450621734912
21.187,192167936,450621734912
21.292,192266240,450621734912
21.395,192266240,450621734912
21.500,192266240,450621734912
21.605,192266240,450621734912
21.706,192266240,450621734912
21.811,192266240,450621734912
21.916,192364544,450621734912
22.019,192462848,450621734912
22.124,192462848,450621734912
22.227,192462848,450621734912
22.327,192462848,450621734912
22.430,192462848,450621734912
22.533,192462848,450621734912
22.638,192462848,450621734912
22.742,192462848,450621734912
22.847,192462848,450621734912
22.949,192462848,450621734912
23.050,192462848,450621734912
23.155,192462848,450621734912
23.256,192462848,450621734912
23.361,192462848,450621734912
23.466,192462848,450621734912
23.570,192462848,450621734912
23.674,192462848,450621734912
23.777,192462848,450621734912
23.881,192462848,450621734912
23.986,192512000,450621734912
24.091,192512000,450621734912
24.196,192512000,450621734912
24.300,192512000,450621734912
24.405,192512000,450621734912
24.510,192593920,450621734912
24.615,192675840,450621734912
24.720,192675840,450621734912
24.825,192675840,450621734912
24.930,192675840,450621734912
25.034,192675840,450621734912
25.138,192675840,450621734912
25.242,192675840,450621734912
25.342,192675840,450621734912
25.445,192675840,450621734912
25.550,192675840,450621734912
25.654,192675840,450621734912
25.758,192675840,450621734912
25.859,192675840,450621734912
25.964,192675840,450621734912
26.065,192675840,450621734912
26.170,192675840,450621734912
26.274,192675840,450621734912
26.377,192675840,450621734912
26.478,192675840,450621734912
26.583,192741376,450621734912
26.688,192741376,450621734912
26.794,192741376,450621734912
26.899,192741376,450621734912
27.004,192741376,450621734912
27.109,192741376,450621734912
27.214,192806912,450621734912
27.319,194838528,450621734912
27.424,220659712,450625224704
27.526,228507648,450626551808
27.627,230309888,450626846720
27.732,233635840,450627239936
27.837,239894528,450627780608
27.942,249790464,450628370432
28.047,249790464,450628370432
28.151,249790464,450628370432
28.256,249790464,450628370432
28.357,249790464,450628370432
28.460,249806848,450628370432
28.563,249806848,450628370432
28.667,249806848,450628370432
28.770,249806848,450628370432
28.875,249806848,450628370432
28.979,249806848,450628370432
29.084,249823232,450628370432
29.187,249839616,450628370432
29.293,252198912,450628370432
29.398,252198912,450628370432
29.498,254115840,450628370432
29.600,254115840,450628370432
29.705,254115840,450628370432
29.810,745537536,450906456064
29.916,745717760,450906456064
30.019,770719744,450929164288
30.124,770785280,450929328128
30.229,771063808,450929328128
30.334,771538944,450929426432
30.439,771538944,450929475584
30.544,771555328,450929475584
30.649,771571712,450929475584
30.752,771604480,450929475584
30.853,771637248,450929475584
30.958,771735552,450929475584
31.059,771768320,450929475584
31.165,771768320,450929475584
31.267,771768320,450929475584
31.372,771768320,450929475584
31.478,771768320,450929475584
31.583,771768320,450929475584
31.688,771768320,450929475584
31.793,771768320,450929475584
31.898,771768320,450929475584
32.002,771768320,450929475584
32.107,771768320,450929475584
32.212,771768320,450929475584
32.317,771768320,450929475584
32.422,771768320,450929475584
32.527,771768320,450929475584
32.631,771768320,450929475584
32.733,771768320,450929475584
32.838,771768320,450929475584
32.941,771768320,450929475584
33.046,771801088,450929475584
33.151,771801088,450929475584
33.252,771801088,450929475584
33.357,771801088,450929475584
33.460,771801088,450929475584
33.562,771850240,450929475584
