t_s,rss_bytes,vms_bytes
0.000,28344320,445723918336
0.105,28344320,445723918336
0.210,35389440,445972234240
0.312,134823936,445983916032
0.417,156516352,445994958848
0.522,171507712,446004772864
0.627,185270272,446012112896
0.732,199802880,446019846144
0.837,223133696,446132715520
0.942,239206400,446154833920
1.048,252461056,446173282304
1.153,266731520,446184210432
1.255,283426816,446200905728
1.361,298336256,446210555904
1.466,309805056,446219517952
1.571,318488576,446225072128
1.675,321191936,446227169280
1.778,322076672,446228217856
1.883,323125248,446229266432
1.988,324239360,446229266432
2.093,346243072,446250713088
2.198,360480768,446259101696
2.303,374226944,446268751872
2.408,386367488,446275485696
2.513,399818752,446289100800
2.618,407371776,446292213760
2.722,443908096,446419386368
2.827,517144576,446455021568
2.932,703856640,446498275328
3.037,863502336,446502993920
3.138,1077100544,446506139648
3.241,1080066048,446510268416
3.346,1080393728,446510268416
3.451,1080770560,446518657024
3.556,1083555840,446521491456
3.661,1109196800,446525751296
3.766,1191968768,448466386944
3.871,1557921792,448466386944
3.976,1927544832,448466386944
4.081,2297954304,448466386944
4.186,2668625920,448466386944
4.290,3034578944,448466386944
4.395,3144171520,448953745408
4.501,4714053632,450891857920
4.606,6148161536,452829970432
4.711,7152975872,452829970432
4.816,7787593728,454771163136
4.918,9049686016,454771163136
5.018,11216601088,460594970624
5.121,12343508992,460594970624
5.223,11742773248,460594970624
5.324,11249074176,460594970624
5.427,10858659840,460594970624
5.529,10802511872,460594970624
5.630,10455629824,466418515968
5.735,9990242304,466418515968
5.836,9485467648,466418515968
5.938,9120022528,466418515968
6.040,9052094464,466418515968
6.145,9001222144,466418515968
6.250,8600600576,466418515968
6.355,8330018816,466418515968
6.460,8237252608,466418515968
6.565,7568703488,466457133056
6.670,6624133120,466457133056
6.771,5584470016,466457133056
6.876,5308956672,466461360128
6.981,5221482496,466461360128
7.081,5102665728,466461360128
7.186,4962320384,466465947648
7.286,4533059584,466465947648
7.391,3852042240,466465947648
7.495,3719299072,466466045952
7.600,3551723520,466466045952
7.705,3212771328,466466045952
7.810,2554871808,466466045952
7.910,1994047488,466472583168
8.015,1454178304,466472583168
8.115,603586560,466472583168
8.215,600719360,466472583168
8.321,600719360,466472583168
8.423,600719360,466472583168
8.528,600735744,466472583168
8.632,600735744,466472583168
8.737,598179840,466472583168
8.842,598327296,466472583168
8.947,598441984,466472583168
9.053,598278144,466472583168
9.158,598376448,466472583168
9.259,593182720,466472583168
9.360,593264640,466472583168
9.463,322224128,466472583168
9.568,286179328,466472583168
9.670,286228480,466472583168
9.775,286392320,466472583168
9.879,288243712,466472583168
9.984,288702464,466472583168
10.085,289619968,466472583168
10.189,289652736,466472583168
10.294,289685504,466472583168
10.399,289718272,466472583168
10.504,290406400,466472583168
10.609,292012032,466472583168
10.714,292388864,466472583168
10.819,292388864,466472583168
10.924,292388864,466472583168
11.029,292388864,466472583168
11.134,292388864,466472583168
11.240,292388864,466472583168
11.345,292388864,466472583168
11.448,292388864,466472583168
11.553,292388864,466472583168
11.658,292618240,466472583168
11.763,292618240,466472583168
11.868,292618240,466472583168
11.973,292618240,466472583168
12.076,292683776,466472583168
12.182,292683776,466472583168
12.287,292683776,466472583168
12.392,292683776,466472583168
12.497,292864000,466472583168
12.598,292880384,466472583168
12.701,293011456,466472583168
12.804,293011456,466472583168
12.909,293011456,466472583168
13.014,293011456,466472583168
13.119,293011456,466472583168
13.224,293011456,466472583168
13.329,293011456,466472583168
13.434,293011456,466472583168
13.539,293011456,466472583168
13.643,293011456,466472583168
13.748,293011456,466472583168
13.854,293011456,466472583168
13.959,293011456,466472583168
14.064,293076992,466472583168
14.169,293076992,466472583168
14.272,293076992,466472583168
14.375,293076992,466472583168
14.481,293093376,466472583168
14.584,293175296,466472583168
14.688,293257216,466472583168
14.789,293257216,466472583168
14.894,293257216,466472583168
14.996,293257216,466472583168
15.098,293257216,466472583168
15.203,293257216,466472583168
15.308,293257216,466472583168
15.413,293257216,466472583168
15.518,293257216,466472583168
15.623,293257216,466472583168
15.728,293257216,466472583168
15.833,293257216,466472583168
15.938,293257216,466472583168
16.043,293257216,466472583168
16.147,293322752,466472583168
16.249,293322752,466472583168
16.351,293322752,466472583168
16.453,293322752,466472583168
16.554,293453824,466472583168
16.656,293568512,466472583168
16.759,293568512,466472583168
16.864,293568512,466472583168
16.969,293568512,466472583168
17.071,293568512,466472583168
17.176,293568512,466472583168
17.281,293568512,466472583168
17.386,293568512,466472583168
17.491,293568512,466472583168
17.597,293568512,466472583168
17.702,293568512,466472583168
