t_s,rss_bytes,vms_bytes
0.000,28278784,445723885568
0.110,28278784,445723885568
0.220,32145408,445729898496
0.330,123568128,445977067520
0.440,155926528,445996417024
0.550,173424640,446006263808
0.660,187858944,446014652416
0.771,203259904,446023041024
0.881,218021888,446127095808
0.991,234307584,446142676992
1.101,246251520,446161272832
1.211,263831552,446181703680
1.321,277807104,446193238016
1.429,294010880,446208376832
1.539,308576256,446218518528
1.649,319307776,446225743872
1.759,324976640,446230233088
1.869,325566464,446230233088
1.979,325976064,446231281664
2.089,326434816,446231281664
2.199,327434240,446232330240
2.309,332070912,446243061760
2.419,349945856,446253776896
2.529,369737728,446266359808
2.629,380321792,446273912832
2.739,398819328,446288347136
2.849,404979712,446293196800
2.959,441843712,446418026496
3.069,505266176,446455988224
3.179,655196160,446494490624
3.289,748486656,446501339136
3.399,895877120,446505009152
3.509,1078755328,446508154880
3.619,1081868288,446512283648
3.729,1082195968,446512283648
3.839,1082589184,446520672256
3.949,1083326464,446521376768
4.056,1109377024,446525046784
4.167,1135591424,446858166272
4.277,1445249024,446858706944
4.384,2038759424,447611551744
4.494,2448932864,447851544576
4.599,2450046976,447857131520
4.709,2450538496,447857147904
4.819,2455273472,447861735424
4.929,2455617536,447861735424
5.035,2455912448,447861751808
5.143,2456158208,447861751808
5.248,2462253056,447865094144
5.358,2464399360,447868289024
5.469,2464399360,447868289024
5.579,2464399360,447868289024
5.689,2464399360,447868289024
5.799,2464415744,447868289024
5.909,2464432128,447868289024
6.019,2464432128,447868289024
6.129,2464432128,447868289024
6.239,2464432128,447868289024
6.348,2464432128,447868289024
6.459,2464432128,447868289024
6.569,2464432128,447868289024
6.679,2464432128,447868289024
6.789,2464579584,447868289024
6.899,2464579584,447868289024
7.007,2464579584,447868289024
7.111,2464579584,447868289024
7.212,2464645120,447868289024
7.318,2464677888,447868289024
7.428,2464677888,447868289024
7.533,2464677888,447868289024
7.642,2464677888,447868289024
7.750,2464677888,447868289024
7.855,2464677888,447868289024
7.957,2464677888,447868289024
8.059,2464677888,447868289024
8.167,2464677888,447868289024
8.278,2464677888,447868289024
8.388,2464677888,447868289024
8.491,2464677888,447868289024
8.595,2464677888,447868289024
8.705,2464677888,447868289024
8.810,2464743424,447868289024
8.912,2464743424,447868289024
9.019,2464743424,447868289024
9.124,2464743424,447868289024
9.231,2464808960,447868289024
9.337,2464825344,447868289024
9.444,2464825344,447868289024
9.550,2464825344,447868289024
