t_s,rss_bytes,vms_bytes
0.000,28246016,445724131328
0.105,28246016,445724131328
0.210,35160064,445972512768
0.310,133922816,445982949376
0.415,156565504,445995171840
0.520,170491904,446003937280
0.625,184385536,446011277312
0.730,198934528,446019665920
0.832,220577792,446129995776
0.933,236568576,446151852032
1.038,250232832,446170595328
1.143,265224192,446183374848
1.248,276643840,446190829568
1.353,286638080,446198677504
1.458,291864576,446202019840
1.561,292257792,446203068416
1.666,293699584,446203068416
1.771,294912000,446204116992
1.872,295223296,446204116992
1.977,313638912,446225219584
2.082,335904768,446238851072
2.187,350339072,446248501248
2.292,357924864,446252679168
2.397,372031488,446268276736
2.503,384811008,446274060288
2.608,423903232,446404509696
2.713,437272576,446433722368
2.816,643416064,446478024704
2.921,983760896,446485364736
3.025,1055113216,446489968640
3.128,1055440896,446489968640
3.232,1055768576,446498357248
3.337,1056194560,446498357248
3.442,1057619968,446499061760
3.547,1082605568,446504402944
3.652,1157545984,446841094144
3.757,1426456576,446841831424
3.862,1963819008,447593431040
3.967,4511318016,449946763264
4.070,4581539840,449985085440
4.176,4581720064,449989296128
4.280,4582162432,449989312512
4.385,4585504768,449989312512
4.485,4587438080,449989705728
4.590,4587683840,449989705728
4.696,4587913216,449993900032
4.800,4588077056,449993900032
4.901,4592238592,449994244096
5.005,4594515968,449998618624
5.110,4596137984,450000437248
5.212,4596137984,450000437248
5.314,4596137984,450000437248
5.419,4596137984,450000437248
5.525,4596137984,450000437248
5.625,4596137984,450000437248
5.730,4155949056,450000437248
5.832,3975577600,450000535552
5.936,3947741184,450000535552
6.037,3947937792,450000535552
6.142,3311828992,450001108992
6.246,2477162496,450001108992
6.351,1704427520,450001108992
6.452,1429848064,450001108992
6.552,1346420736,450001108992
6.657,935919616,450001108992
6.759,877641728,450001108992
6.864,877740032,450001108992
6.970,878624768,450001108992
7.071,878264320,450001108992
7.176,610074624,450001108992
7.279,610074624,450001108992
7.384,610074624,450001108992
7.485,610091008,450001108992
7.590,610123776,450001108992
7.695,611385344,450001108992
7.800,611680256,450001108992
7.905,612597760,450001108992
8.010,612597760,450001108992
8.116,612597760,450001108992
8.220,612597760,450001108992
8.323,612597760,450001108992
8.425,612597760,450001108992
8.530,612597760,450001108992
8.633,612597760,450001108992
8.736,612597760,450001108992
8.841,612597760,450001108992
8.945,612597760,450001108992
9.050,612597760,450001108992
9.152,612614144,450001108992
9.254,612614144,450001108992
9.356,612614144,450001108992
9.461,612614144,450001108992
9.567,612614144,450001108992
9.671,612614144,450001108992
9.776,612614144,450001108992
9.879,612810752,450001108992
9.984,612810752,450001108992
10.088,612810752,450001108992
10.194,612827136,450001108992
10.299,612827136,450001108992
10.404,612827136,450001108992
10.504,612892672,450001108992
10.610,612925440,450001108992
10.715,612925440,450001108992
10.820,612925440,450001108992
10.921,612925440,450001108992
11.022,612925440,450001108992
11.127,612712448,450001108992
11.231,612712448,450001108992
11.336,612712448,450001108992
11.440,612712448,450001108992
11.545,612712448,450001108992
11.650,579846144,450001108992
11.752,579846144,450001108992
11.857,579846144,450001108992
11.962,579846144,450001108992
12.067,579846144,450001108992
12.172,579846144,450001108992
12.277,579846144,450001108992
12.382,579846144,450001108992
12.488,579846144,450001108992
12.592,579895296,450001108992
12.697,579895296,450001108992
12.802,579895296,450001108992
12.907,579895296,450001108992
13.012,579895296,450001108992
13.117,579895296,450001108992
13.222,579977216,450001108992
13.325,580009984,450001108992
13.427,580009984,450001108992
13.533,580009984,450001108992
13.638,580009984,450001108992
13.743,580009984,450001108992
13.848,580009984,450001108992
13.951,580009984,450001108992
14.057,580009984,450001108992
14.160,580009984,450001108992
14.260,580009984,450001108992
14.361,580009984,450001108992
14.465,580009984,450001108992
14.568,580009984,450001108992
14.669,580009984,450001108992
14.773,580009984,450001108992
14.878,580009984,450001108992
14.979,580009984,450001108992
15.085,580009984,450001108992
15.190,580009984,450001108992
15.295,580009984,450001108992
15.399,580059136,450001108992
15.504,580059136,450001108992
15.609,580059136,450001108992
15.712,580059136,450001108992
15.812,580059136,450001108992
15.913,580091904,450001108992
16.018,580108288,450001108992
16.121,580141056,450000535552
16.222,580141056,450000535552
16.326,580141056,450000535552
16.430,580141056,450000535552
16.535,580141056,450000535552
16.640,580141056,450000535552
16.745,580141056,450000535552
16.846,580141056,450000535552
16.951,580141056,450000535552
17.056,580141056,450000535552
17.161,580141056,450000535552
17.266,580141056,450000535552
17.368,580141056,450000535552
17.473,580141056,450000535552
17.578,580141056,450000535552
17.678,580141056,450000535552
17.783,580141056,450000535552
17.888,580141056,450000535552
17.993,580141056,450000535552
18.098,580206592,450000535552
18.203,580206592,450001108992
18.307,580206592,450001108992
18.412,580206592,450001108992
18.517,580206592,450001108992
18.622,580222976,450001108992
18.727,580239360,450001108992
18.832,580272128,450001108992
18.937,580272128,450001108992
19.039,580272128,450001108992
19.141,580272128,450001108992
19.246,580272128,450001108992
19.351,580272128,450001108992
19.456,580272128,450001108992
19.561,580272128,450001108992
19.666,580272128,450001108992
19.771,580272128,450001108992
19.872,580272128,450001108992
19.976,580272128,450001108992
20.080,580272128,450001108992
20.185,580272128,450001108992
20.290,580272128,450001108992
20.396,580272128,450001108992
20.500,580272128,450001108992
20.606,580272128,450001108992
20.709,580272128,450001108992
20.814,580272128,450001108992
20.919,580321280,450001108992
21.024,580321280,450001108992
21.130,580321280,450001108992
21.235,580321280,450001108992
21.340,580321280,450001108992
21.445,580321280,450001108992
21.550,580370432,450001108992
21.655,580419584,450001108992
21.757,580419584,450001108992
21.861,580419584,450001108992
21.965,580419584,450001108992
22.070,580419584,450001108992
22.175,580419584,450001108992
22.280,580419584,450001108992
22.386,580419584,450001108992
22.487,580419584,450001108992
22.592,580419584,450001108992
22.694,580419584,450001108992
22.799,580419584,450001108992
22.902,580419584,450001108992
23.007,580419584,450001108992
23.112,580419584,450001108992
23.217,580419584,450001108992
23.319,580419584,450001108992
23.424,580419584,450001108992
23.528,580419584,450001108992
23.630,580468736,450001108992
23.735,580468736,450001108992
23.840,580468736,450001108992
23.945,580468736,450001108992
24.050,580468736,450001108992
24.155,580468736,450001108992
24.261,580534272,450001108992
24.362,586203136,450001453056
24.465,605372416,450005483520
24.566,609976320,450006269952
24.671,611483648,450006417408
24.776,616398848,450006810624
24.877,625819648,450006810624
24.983,627064832,450006827008
25.088,627064832,450006827008
25.193,627064832,450006827008
25.298,627064832,450006827008
25.402,627064832,450006827008
25.504,627064832,450006827008
25.606,627064832,450006827008
25.711,627064832,450006827008
25.817,627064832,450006827008
25.922,627064832,450006827008
