t_s,rss_bytes,vms_bytes
0.000,28295168,445724098560
0.105,28295168,445724098560
0.210,32882688,445730111488
0.315,133005312,445978329088
0.420,156729344,445996810240
0.525,174047232,446007541760
0.630,187531264,446014865408
0.736,202014720,446022205440
0.839,222511104,446131339264
0.944,237895680,446153474048
1.049,249217024,446167351296
1.154,266436608,446185046016
1.255,278052864,446193074176
1.357,288227328,446200594432
1.462,299417600,446209982464
1.567,300072960,446209982464
1.671,300482560,446209982464
1.776,300974080,446211031040
1.881,301907968,446212079616
1.983,302071808,446212079616
2.088,314458112,446227234816
2.193,336920576,446240866304
2.298,348094464,446248402944
2.403,360267776,446254694400
2.508,374112256,446269227008
2.611,387334144,446276075520
2.717,423591936,446404263936
2.822,453033984,446434689024
2.924,592297984,446440456192
3.024,654180352,446478991360
3.130,887881728,446484758528
3.235,1053081600,446487904256
3.337,1056292864,446491983872
3.442,1056686080,446491983872
3.547,1057062912,446500372480
3.652,1057947648,446501076992
3.757,1058684928,446501076992
3.863,1084424192,446504747008
3.967,1126154240,446542135296
4.071,1426538496,446832459776
4.174,1460928512,446867456000
4.279,1461157888,446871650304
4.384,1461518336,446871666688
4.485,1462042624,446871666688
4.590,1466269696,446872059904
4.695,1466466304,446872076288
4.801,1466613760,446872076288
4.906,1466777600,446876270592
5.011,1466925056,446876270592
5.116,1471741952,446878629888
5.221,1475051520,446882807808
5.326,1475067904,446882807808
5.431,1475067904,446882807808
5.536,1475067904,446882807808
5.638,1475067904,446882807808
5.743,1475084288,446882807808
5.846,1475084288,446882807808
5.951,1475084288,446882807808
6.053,1475100672,446882807808
6.158,1475117056,446882807808
6.263,1475117056,446882807808
6.369,1475117056,446882807808
6.473,1475117056,446882807808
6.578,1475117056,446882807808
6.679,1475117056,446882807808
6.784,1475117056,446882807808
6.889,1475117056,446882807808
6.994,1475117056,446882807808
7.099,1475264512,446882807808
7.200,1475264512,446882807808
7.305,1475264512,446882807808
7.408,1475264512,446882807808
7.512,1475264512,446882807808
7.614,1475313664,446882807808
7.719,1475330048,446882807808
7.822,1475346432,446882807808
7.925,1475346432,446882807808
8.031,1475346432,446882807808
8.136,1475346432,446882807808
8.241,1475346432,446882807808
8.346,1475346432,446882807808
8.451,1475346432,446882807808
8.556,1475346432,446882807808
8.661,1475346432,446882807808
8.763,1475346432,446882807808
8.869,1475346432,446882807808
8.974,1475346432,446882807808
9.079,1475346432,446882807808
9.184,1475346432,446882807808
9.289,1475395584,446882807808
9.394,1475395584,446882807808
9.499,1475395584,446882807808
9.604,1475395584,446882807808
9.709,1475526656,446882807808
9.815,1475543040,446882807808
9.920,1475543040,446882807808
10.021,1475543040,446882807808
10.122,1475543040,446882807808
10.227,1475543040,446882807808
10.332,1475543040,446882807808
10.437,1475543040,446882807808
10.543,1475543040,446882807808
10.648,1475543040,446882807808
10.753,1475543040,446882807808
10.858,1475543040,446882807808
10.963,1475543040,446882807808
11.068,1475543040,446882807808
11.173,1475543040,446882807808
11.278,1475608576,446882807808
11.381,1475608576,446882807808
11.486,1475608576,446882807808
11.591,1475608576,446882807808
11.695,1475674112,446882807808
11.801,1475690496,446882807808
11.906,1475690496,446882807808
12.011,1475690496,446882807808
12.115,1475690496,446882807808
12.218,1475690496,446882807808
12.320,1475690496,446882807808
12.425,1475690496,446882807808
12.530,1475690496,446882807808
12.636,1475690496,446882807808
12.741,1475690496,446882807808
12.846,1475690496,446882807808
12.951,1475690496,446882807808
13.056,1475690496,446882807808
13.161,1475690496,446882807808
13.266,1475772416,446882807808
13.371,1475772416,446882807808
13.476,1475772416,446882807808
13.581,1475772416,446882807808
13.681,1475772416,446882807808
13.784,1475821568,446882807808
13.890,1475837952,446882807808
13.994,1475837952,446882807808
14.095,1475837952,446882807808
14.197,1475837952,446882807808
14.302,1475837952,446882807808
14.404,1475837952,446882807808
14.509,1475837952,446882807808
14.613,1475837952,446882807808
14.715,1475837952,446882807808
14.820,1475837952,446882807808
14.924,1475837952,446882807808
15.029,1475837952,446882807808
15.132,1475837952,446882807808
15.235,1475837952,446882807808
15.338,1475837952,446882807808
15.443,1475837952,446882807808
15.548,1475903488,446882807808
15.653,1475903488,446882807808
15.758,1475903488,446882807808
15.860,1475903488,446882807808
15.965,1475903488,446882807808
16.069,1475936256,446882807808
16.174,1475969024,446882807808
16.279,1475969024,446882807808
16.384,1475969024,446882807808
16.489,1475969024,446882807808
16.594,1475969024,446882807808
16.697,1475969024,446882807808
16.798,1475969024,446882807808
16.899,1475969024,446882807808
17.005,1475969024,446882807808
17.108,1475969024,446882807808
17.213,1475969024,446882807808
17.316,1475969024,446882807808
17.417,1475969024,446882807808
17.521,1475969024,446882807808
17.626,1475969024,446882807808
17.732,1475969024,446882807808
17.837,1475969024,446882807808
17.937,1475969024,446882807808
