t_s,rss_bytes,vms_bytes
0.000,28393472,445724688384
0.100,28393472,445724688384
0.205,31948800,445730865152
0.310,97697792,445972987904
0.415,134922240,445984686080
0.521,154845184,445994680320
0.626,167886848,446003445760
0.731,178208768,446009737216
0.836,193314816,446017077248
0.941,213630976,446125129728
1.043,225935360,446134763520
1.146,238354432,446154407936
1.251,247496704,446166073344
1.356,261685248,446182342656
1.459,272007168,446189322240
1.564,282853376,446195793920
1.669,290750464,446202380288
1.774,292028416,446202380288
1.879,292405248,446203428864
1.984,293027840,446203428864
2.086,294125568,446203428864
2.191,295223296,446204477440
2.296,295403520,446204477440
2.401,303677440,446219059200
2.506,325255168,446232920064
2.611,342196224,446242357248
2.713,350765056,446248861696
2.818,358875136,446253039616
2.923,368918528,446263214080
3.028,380223488,446271291392
3.131,388874240,446276517888
3.232,411025408,446395875328
3.334,426065920,446404722688
3.439,435339264,446434082816
3.540,591773696,446438801408
3.645,671170560,446478385152
3.748,887603200,446483103744
3.853,1048018944,446486249472
3.957,1055555584,446490329088
4.062,1055932416,446490329088
4.167,1056243712,446498717696
4.272,1056538624,446498717696
4.373,1056882688,446498717696
4.478,1060274176,446500470784
4.581,1077084160,446501568512
4.682,1088798720,446508335104
4.786,1134149632,446547361792
4.891,1505640448,446910595072
4.993,1537228800,446943657984
5.098,1542471680,446949507072
5.199,1542733824,446949523456
5.301,1542995968,446949523456
5.405,1543307264,446949523456
5.507,1548025856,446949916672
5.609,1548255232,446954110976
5.714,1548468224,446954110976
5.815,1548615680,446954110976
5.917,1548795904,446954110976
6.021,1548926976,446954110976
6.126,1554038784,446956666880
6.227,1556217856,446960009216
6.328,1557413888,446960648192
6.433,1557413888,446960648192
6.534,1333035008,446960648192
6.635,924057600,446960648192
6.738,416874496,446960648192
6.842,197607424,446960648192
6.943,183582720,446960648192
7.044,183631872,446961221632
7.144,181911552,446961319936
7.246,181567488,446961319936
7.348,181567488,446961319936
7.453,181665792,446961319936
7.554,181829632,446961319936
7.659,181813248,446961319936
7.764,181846016,446961319936
7.865,181862400,446961319936
7.967,179159040,446961319936
8.070,177160192,446961319936
8.175,177242112,446961319936
8.276,177258496,446961319936
8.380,177356800,446961319936
8.480,177848320,446961319936
8.585,179273728,446961319936
8.690,179798016,446961319936
8.792,181043200,446961319936
8.892,181043200,446961319936
8.998,181043200,446961319936
9.098,181059584,446961319936
9.199,181092352,446961319936
9.303,181108736,446961319936
9.408,181108736,446961319936
9.513,181125120,446961319936
9.615,186908672,446961319936
9.720,187170816,446961319936
9.822,191348736,446961319936
9.927,191348736,446961319936
10.029,188563456,446961319936
10.134,188563456,446961319936
10.239,188563456,446961319936
10.340,188563456,446961319936
10.444,188563456,446961319936
10.544,188563456,446961319936
10.649,188563456,446961319936
10.754,188563456,446961319936
10.856,188563456,446961319936
10.957,188563456,446961319936
11.062,188891136,446961319936
11.167,188891136,446961319936
11.270,188891136,446961319936
11.375,188891136,446961319936
11.476,188891136,446961319936
11.577,188891136,446961319936
11.682,188891136,446961319936
11.787,188891136,446961319936
11.892,188891136,446961319936
11.993,188891136,446961319936
12.095,188891136,446961319936
12.198,189038592,446961319936
12.303,189038592,446961319936
12.408,189038592,446961319936
12.511,189038592,446961319936
12.614,189038592,446961319936
12.719,189038592,446961319936
12.824,189038592,446961319936
12.927,189251584,446961319936
13.032,189431808,446961319936
13.137,189431808,446961319936
13.242,189431808,446961319936
13.347,189431808,446961319936
13.452,189431808,446961319936
13.553,189431808,446961319936
13.658,189431808,446961319936
13.761,189431808,446961319936
13.866,189431808,446961319936
13.971,189431808,446961319936
14.076,189431808,446961319936
14.181,189431808,446961319936
14.281,189431808,446961319936
14.386,189431808,446961319936
14.489,189431808,446961319936
14.592,189431808,446961319936
14.695,189431808,446961319936
14.797,189431808,446961319936
14.901,189431808,446961319936
15.006,189431808,446961319936
15.111,189431808,446961319936
15.216,189431808,446961319936
15.321,189431808,446961319936
15.426,189431808,446961319936
15.526,189480960,446961319936
15.631,189480960,446961319936
15.735,189480960,446961319936
15.840,189480960,446961319936
15.944,189480960,446961319936
16.047,189464576,446960746496
16.152,189464576,446961319936
16.257,189513728,446961319936
16.362,189530112,446961319936
16.467,189710336,446961319936
16.572,189710336,446961319936
16.676,189710336,446961319936
16.781,189054976,446946557952
16.883,189054976,446946557952
16.985,189054976,446946557952
17.090,189054976,446946557952
17.195,189054976,446946557952
17.300,189054976,446946557952
17.401,189054976,446946557952
17.506,189054976,446946557952
17.612,189054976,446946557952
17.716,189054976,446946557952
17.821,189054976,446946557952
17.924,189054976,446946557952
18.025,189054976,446946557952
18.126,189054976,446946557952
18.228,189054976,446946557952
18.333,189054976,446946557952
18.434,189054976,446946557952
18.537,189054976,446946557952
18.642,189120512,446946557952
18.748,189120512,446946557952
18.852,189120512,446946557952
18.957,189120512,446946557952
19.058,189120512,446946557952
19.160,189267968,446946557952
19.265,189284352,446946557952
19.367,189317120,446946557952
19.472,189317120,446946557952
19.577,189317120,446946557952
19.682,189317120,446946557952
19.787,189317120,446946557952
19.892,189317120,446946557952
19.997,189317120,446946557952
20.103,189317120,446946557952
20.208,189317120,446946557952
20.312,189317120,446946557952
20.417,189317120,446946557952
20.517,189317120,446946557952
20.623,189317120,446946557952
20.728,189317120,446946557952
20.832,189317120,446946557952
20.935,189317120,446946557952
21.037,189317120,446946557952
21.142,189317120,446946557952
21.245,189317120,446946557952
21.348,189317120,446946557952
21.453,189382656,446946557952
21.556,189382656,446946557952
21.662,189382656,446946557952
21.766,189382656,446946557952
21.871,189382656,446946557952
21.973,189382656,446946557952
22.073,189480960,446946557952
22.178,189579264,446946557952
22.283,189579264,446946557952
22.387,189579264,446946557952
22.494,189579264,446946557952
22.599,189579264,446946557952
22.700,189579264,446946557952
22.801,189579264,446946557952
22.906,189579264,446946557952
23.011,189579264,446946557952
23.112,189579264,446946557952
23.217,189579264,446946557952
23.322,189579264,446946557952
23.426,189579264,446946557952
23.530,189579264,446946557952
23.632,189579264,446946557952
23.737,189579264,446946557952
23.840,189579264,446946557952
23.945,189579264,446946557952
24.050,189579264,446946557952
24.155,189595648,446946557952
24.259,189644800,446946557952
24.364,189644800,446946557952
24.465,189644800,446946557952
24.567,189644800,446946557952
24.672,189644800,446946557952
24.776,189726720,446946557952
24.879,189759488,446946557952
24.984,189792256,446946557952
25.089,189792256,446946557952
25.194,189792256,446946557952
25.299,189792256,446946557952
25.404,189792256,446946557952
25.509,189792256,446946557952
25.610,189792256,446946557952
25.716,189792256,446946557952
25.817,189792256,446946557952
25.922,189792256,446946557952
26.028,189792256,446946557952
26.133,189792256,446946557952
26.238,189792256,446946557952
26.340,189792256,446946557952
26.443,189792256,446946557952
26.546,189792256,446946557952
26.652,189792256,446946557952
26.752,189792256,446946557952
